GarageQual,GarageCond,Electrical,LotShape,SaleCondition,YrSold,SalePrice
TA,TA,SBrkr,IR1,Normal,2006,158000
TA,TA,SBrkr,Reg,Normal,2010,272000
TA,TA,SBrkr,Reg,Normal,2009,315000
TA,TA,SBrkr,Reg,Normal,2007,248000
TA,TA,SBrkr,Reg,Normal,2009,213250
TA,TA,SBrkr,Reg,Normal,2007,133000
TA,TA,SBrkr,IR1,Partial,2006,179665
TA,TA,SBrkr,IR1,Normal,2006,229000
TA,TA,FuseA,IR1,Normal,2007,210000
TA,TA,SBrkr,Reg,Normal,2007,129500
TA,TA,SBrkr,IR1,Normal,2008,125000
TA,TA,SBrkr,Reg,Normal,2009,263000
TA,TA,SBrkr,Reg,Abnorml,2008,140000
TA,TA,FuseA,Reg,Normal,2008,112500
TA,TA,SBrkr,IR1,Normal,2009,255500
TA,TA,SBrkr,Reg,Normal,2009,108000
TA,TA,SBrkr,Reg,Normal,2008,284000
TA,TA,FuseA,Reg,Normal,2006,113000
TA,TA,FuseA,IR1,Normal,2006,141000
TA,TA,SBrkr,Reg,Normal,2006,108000
TA,TA,SBrkr,IR2,Normal,2008,175000
TA,TA,SBrkr,Reg,Normal,2006,234000
TA,TA,SBrkr,IR1,Normal,2010,121500
TA,TA,SBrkr,Reg,Normal,2006,170000
,,SBrkr,Reg,Normal,2008,108000
TA,TA,SBrkr,Reg,Normal,2008,185000
TA,TA,SBrkr,IR1,Normal,2006,268000
TA,TA,FuseF,Reg,Normal,2010,128000
TA,TA,SBrkr,IR1,Normal,2008,325000
TA,TA,SBrkr,IR1,Normal,2010,214000
Gd,TA,SBrkr,IR1,Normal,2009,316600
TA,TA,SBrkr,IR1,Normal,2006,135960
TA,TA,SBrkr,IR1,Normal,2008,142600
TA,TA,SBrkr,Reg,Abnorml,2006,120000
TA,TA,SBrkr,IR1,Partial,2009,224500
TA,TA,SBrkr,IR1,Normal,2007,170000
TA,TA,SBrkr,Reg,Normal,2007,139000
TA,TA,SBrkr,Reg,Abnorml,2008,118500
TA,TA,SBrkr,Reg,Normal,2009,145000
TA,TA,SBrkr,IR1,Abnorml,2006,164500
TA,TA,SBrkr,Reg,Abnorml,2008,146000
Fa,TA,FuseF,Reg,Normal,2008,131500
TA,TA,SBrkr,IR1,Normal,2007,181900
TA,TA,SBrkr,Reg,Partial,2009,253293
,,SBrkr,Reg,Normal,2007,118500
Gd,TA,SBrkr,Reg,Normal,2008,325000
TA,TA,SBrkr,Reg,Normal,2009,133000
TA,TA,SBrkr,Reg,Partial,2006,369900
TA,TA,SBrkr,Reg,Normal,2008,130000
TA,TA,SBrkr,IR1,Normal,2009,137000
TA,TA,SBrkr,IR1,Partial,2009,143000
TA,TA,FuseA,Reg,Normal,2008,79500
TA,TA,SBrkr,Reg,Normal,2008,185900
TA,TA,SBrkr,IR1,Normal,2009,451950
TA,TA,SBrkr,Reg,Normal,2008,138000
TA,TA,SBrkr,Reg,Normal,2009,140000
TA,TA,SBrkr,IR1,Normal,2008,110000
TA,TA,SBrkr,IR1,Partial,2006,319000
TA,Fa,FuseA,Reg,Normal,2006,114504
TA,TA,SBrkr,Reg,Partial,2007,194201
TA,TA,SBrkr,Reg,Normal,2006,217500
TA,TA,SBrkr,Reg,Normal,2008,151000
TA,TA,SBrkr,Reg,Normal,2006,275000
TA,TA,SBrkr,Reg,Normal,2007,141000
TA,TA,SBrkr,IR1,Abnorml,2006,220000
TA,TA,SBrkr,Reg,Normal,2010,151000
TA,TA,SBrkr,IR1,Normal,2008,221000
TA,TA,SBrkr,Reg,Normal,2009,205000
TA,TA,SBrkr,IR2,Normal,2009,152000
TA,TA,SBrkr,Reg,Normal,2006,225000
TA,TA,SBrkr,Reg,Alloca,2007,359100
TA,TA,SBrkr,Reg,Normal,2007,118500
TA,TA,SBrkr,Reg,Normal,2009,313000
TA,TA,SBrkr,IR1,Normal,2007,148000
TA,TA,SBrkr,Reg,Normal,2009,261500
,,SBrkr,Reg,Partial,2007,147000
,,SBrkr,Reg,Normal,2010,75500
TA,TA,SBrkr,Reg,Abnorml,2010,137500
TA,TA,SBrkr,IR1,Normal,2006,183200
TA,TA,SBrkr,Reg,Normal,2008,105500
TA,TA,SBrkr,Reg,Partial,2007,314813
TA,TA,SBrkr,Reg,Normal,2008,305000
,,FuseF,Reg,Normal,2008,67000
TA,TA,SBrkr,Reg,Normal,2008,240000
TA,TA,SBrkr,Reg,Normal,2009,135000
TA,TA,SBrkr,Reg,Normal,2007,168500
TA,TA,SBrkr,Reg,Normal,2006,165150
TA,TA,SBrkr,IR1,Normal,2010,160000
TA,TA,SBrkr,IR1,Normal,2007,139900
TA,TA,SBrkr,Reg,Normal,2010,153000
TA,TA,SBrkr,IR1,Family,2007,135000
TA,TA,SBrkr,Reg,Normal,2008,168500
Fa,Po,FuseA,Reg,Abnorml,2006,124000
TA,TA,SBrkr,Reg,Normal,2007,209500
TA,TA,SBrkr,Reg,Family,2009,82500
TA,TA,SBrkr,Reg,Normal,2007,139400
TA,TA,SBrkr,Reg,Normal,2010,144000
,,FuseA,Reg,Abnorml,2007,200000
,,FuseA,Reg,Normal,2009,60000
TA,TA,FuseA,Reg,Normal,2009,93000
,,FuseA,Reg,Normal,2008,85000
TA,TA,SBrkr,Reg,Partial,2006,264561
TA,TA,SBrkr,IR1,Normal,2008,274000
TA,TA,SBrkr,Reg,Normal,2007,226000
TA,TA,SBrkr,Reg,Normal,2009,345000
TA,TA,SBrkr,Reg,Normal,2007,152000
TA,TA,SBrkr,Reg,Partial,2009,370878
TA,TA,SBrkr,IR1,Normal,2007,143250
TA,TA,SBrkr,Reg,Normal,2008,98300
TA,TA,SBrkr,IR1,Normal,2008,155000
TA,TA,SBrkr,Reg,Normal,2010,155000
,,SBrkr,Reg,Normal,2007,84500
TA,TA,SBrkr,Reg,Normal,2008,205950
Fa,Po,SBrkr,Reg,Normal,2009,108000
TA,TA,SBrkr,Reg,Normal,2009,191000
TA,TA,SBrkr,Reg,Normal,2008,135000
TA,TA,SBrkr,IR1,Normal,2008,350000
TA,TA,SBrkr,Reg,Family,2010,88000
TA,TA,SBrkr,IR1,Normal,2008,145500
TA,TA,SBrkr,Reg,Normal,2008,149000
TA,TA,SBrkr,Reg,Abnorml,2010,97500
TA,TA,SBrkr,Reg,Normal,2009,167000
TA,TA,SBrkr,Reg,Normal,2007,197900
TA,TA,SBrkr,IR2,Normal,2009,402000
TA,TA,SBrkr,Reg,Normal,2009,110000
TA,TA,SBrkr,Reg,Normal,2008,137500
TA,TA,SBrkr,IR2,Partial,2006,423000
TA,TA,SBrkr,IR1,Normal,2006,230500
TA,TA,SBrkr,IR1,Abnorml,2007,129000
TA,TA,SBrkr,Reg,Normal,2008,193500
TA,TA,SBrkr,Reg,Normal,2006,168000
TA,Fa,SBrkr,Reg,Normal,2006,137500
TA,TA,SBrkr,Reg,Normal,2009,173500
TA,TA,SBrkr,Reg,Normal,2009,103600
TA,TA,SBrkr,IR1,Normal,2006,165000
TA,TA,SBrkr,Reg,Normal,2007,257500
TA,TA,SBrkr,Reg,Normal,2008,140000
TA,TA,SBrkr,Reg,Normal,2009,148500
Fa,Fa,SBrkr,Reg,Normal,2006,87000
Fa,Fa,SBrkr,Reg,Normal,2009,109500
TA,TA,SBrkr,IR1,Partial,2009,372500
TA,TA,SBrkr,IR1,Normal,2007,128500
TA,TA,SBrkr,Reg,Normal,2010,143000
TA,TA,SBrkr,IR2,Abnorml,2009,159434
TA,TA,SBrkr,Reg,Normal,2008,173000
TA,TA,SBrkr,IR1,Normal,2007,285000
TA,TA,SBrkr,IR2,Normal,2010,221000
TA,TA,SBrkr,IR1,Normal,2007,207500
TA,TA,SBrkr,Reg,Partial,2007,227875
TA,TA,SBrkr,IR2,Normal,2007,148800
TA,TA,SBrkr,Reg,Partial,2007,392000
TA,TA,SBrkr,IR1,Normal,2007,194700
TA,TA,SBrkr,Reg,Normal,2008,141000
TA,TA,SBrkr,IR1,Normal,2007,755000
TA,TA,SBrkr,IR1,Normal,2006,335000
TA,TA,SBrkr,Reg,Abnorml,2006,108480
TA,TA,SBrkr,Reg,Normal,2009,141500
TA,TA,SBrkr,IR1,Normal,2006,176000
TA,TA,SBrkr,Reg,Normal,2006,89000
TA,TA,FuseA,IR1,Normal,2006,123500
TA,TA,SBrkr,Reg,Normal,2010,138500
TA,TA,SBrkr,IR2,Normal,2008,196000
TA,TA,SBrkr,Reg,Normal,2006,312500
TA,TA,SBrkr,Reg,Normal,2006,140000
TA,TA,SBrkr,IR1,Partial,2006,361919
TA,TA,SBrkr,Reg,Normal,2010,140000
TA,TA,SBrkr,Reg,Normal,2010,213000
,,SBrkr,Reg,Normal,2010,55000
TA,TA,SBrkr,IR2,Normal,2007,302000
TA,TA,SBrkr,Reg,Normal,2009,254000
TA,TA,SBrkr,IR1,Partial,2007,179540
TA,TA,SBrkr,IR1,Abnorml,2008,109900
,,SBrkr,IR1,Normal,2008,52000
TA,TA,SBrkr,Reg,Abnorml,2010,102776
TA,TA,SBrkr,IR1,Normal,2008,189000
TA,TA,SBrkr,Reg,Normal,2006,129000
TA,TA,SBrkr,IR1,Normal,2010,130500
TA,TA,SBrkr,Reg,Normal,2009,165000
TA,TA,SBrkr,Reg,Normal,2007,159500
TA,TA,SBrkr,Reg,Normal,2008,157000
TA,TA,SBrkr,Reg,Normal,2008,341000
TA,TA,SBrkr,IR1,Normal,2006,128500
TA,TA,SBrkr,IR1,Normal,2006,275000
TA,TA,SBrkr,Reg,Normal,2010,143000
TA,TA,SBrkr,Reg,Normal,2009,124500
TA,TA,SBrkr,Reg,Normal,2008,135000
TA,TA,SBrkr,IR1,Normal,2009,320000
TA,TA,SBrkr,Reg,Normal,2009,120500
TA,TA,SBrkr,IR1,Normal,2009,222000
TA,TA,SBrkr,Reg,Normal,2009,194500
TA,TA,SBrkr,Reg,Abnorml,2009,110000
TA,TA,FuseA,Reg,Normal,2009,103000
TA,TA,SBrkr,IR1,Normal,2010,236500
TA,TA,SBrkr,IR1,Normal,2007,187500
TA,TA,SBrkr,IR1,Normal,2008,222500
TA,TA,SBrkr,Reg,Normal,2009,131400
TA,TA,SBrkr,IR1,Family,2007,108000
TA,TA,SBrkr,Reg,Normal,2006,163000
TA,TA,FuseF,Reg,Normal,2006,93500
TA,TA,SBrkr,IR1,Normal,2006,239900
,,SBrkr,Reg,Alloca,2009,179000
TA,TA,SBrkr,IR1,Normal,2009,190000
TA,Gd,SBrkr,Reg,Abnorml,2007,132000
TA,TA,SBrkr,IR1,Normal,2008,142000
TA,TA,SBrkr,Reg,Normal,2007,179000
TA,TA,SBrkr,IR1,Normal,2009,175000
TA,TA,SBrkr,IR1,Normal,2008,180000
TA,TA,SBrkr,IR1,Normal,2008,299800
TA,TA,SBrkr,IR1,Normal,2009,236000
TA,TA,SBrkr,IR1,Normal,2009,265979
TA,TA,SBrkr,IR1,Normal,2010,260400
TA,TA,FuseF,Reg,Normal,2009,98000
,,SBrkr,Reg,Normal,2010,96500
TA,TA,SBrkr,Reg,Normal,2007,162000
TA,TA,SBrkr,IR1,Normal,2006,217000
TA,TA,SBrkr,Reg,Normal,2006,275500
TA,TA,SBrkr,Reg,Normal,2009,156000
TA,TA,SBrkr,Reg,Normal,2009,172500
TA,TA,SBrkr,IR1,Normal,2009,212000
TA,TA,SBrkr,IR1,Abnorml,2010,158900
TA,TA,SBrkr,Reg,Normal,2008,179400
TA,TA,SBrkr,IR1,Normal,2007,290000
Ex,Ex,SBrkr,Reg,Normal,2009,127500
TA,TA,SBrkr,Reg,Normal,2009,100000
TA,TA,SBrkr,Reg,Normal,2010,215200
TA,TA,SBrkr,Reg,Normal,2009,337000
TA,TA,SBrkr,IR1,Normal,2006,270000
TA,TA,SBrkr,IR1,Partial,2008,264132
TA,TA,SBrkr,Reg,Normal,2010,196500
TA,TA,SBrkr,IR1,Normal,2008,160000
TA,TA,SBrkr,Reg,Normal,2006,216837
TA,TA,SBrkr,IR2,Normal,2010,538000
TA,TA,SBrkr,IR1,Normal,2009,134900
TA,TA,FuseF,Reg,Normal,2006,102000
TA,TA,SBrkr,Reg,Abnorml,2010,107000
TA,TA,FuseA,Reg,Normal,2007,114500
TA,TA,SBrkr,Reg,Partial,2007,395000
TA,TA,SBrkr,Reg,Normal,2009,162000
TA,TA,SBrkr,IR1,Partial,2006,221500
TA,TA,SBrkr,IR1,Normal,2006,142500
TA,TA,SBrkr,Reg,Normal,2007,144000
TA,TA,SBrkr,Reg,Normal,2006,135000
TA,TA,SBrkr,Reg,Normal,2007,176000
TA,TA,SBrkr,Reg,Normal,2006,175900
TA,TA,SBrkr,IR2,Normal,2009,187100
TA,TA,SBrkr,IR1,Normal,2009,165500
,,SBrkr,Reg,Normal,2008,128000
TA,TA,SBrkr,Reg,Normal,2009,161500
TA,TA,SBrkr,Reg,Normal,2010,139000
TA,TA,SBrkr,IR1,Normal,2010,233000
Fa,TA,SBrkr,Reg,Normal,2008,107900
TA,TA,SBrkr,IR1,Normal,2007,187500
TA,TA,SBrkr,Reg,Normal,2009,160200
TA,TA,SBrkr,IR1,Normal,2007,146800
TA,TA,SBrkr,IR1,Normal,2007,269790
TA,TA,SBrkr,Reg,Partial,2007,225000
TA,TA,SBrkr,IR1,Normal,2008,194500
TA,TA,SBrkr,Reg,Normal,2010,171000
TA,TA,SBrkr,Reg,Normal,2007,143500
TA,TA,SBrkr,Reg,Abnorml,2008,110000
TA,TA,SBrkr,Reg,Partial,2009,485000
TA,TA,SBrkr,Reg,Normal,2007,175000
TA,TA,SBrkr,IR1,Normal,2008,200000
TA,TA,FuseA,Reg,Normal,2007,109900
TA,TA,SBrkr,Reg,Normal,2008,189000
TA,TA,SBrkr,Reg,Partial,2009,582933
TA,TA,SBrkr,Reg,Family,2006,118000
TA,TA,SBrkr,IR1,Partial,2008,227680
TA,TA,SBrkr,Reg,Normal,2006,135500
TA,TA,SBrkr,Reg,Normal,2009,223500
TA,TA,SBrkr,Reg,Normal,2006,159950
Fa,Po,FuseA,Reg,Normal,2009,106000
TA,TA,SBrkr,Reg,Normal,2006,181000
TA,TA,SBrkr,Reg,Normal,2008,144500
TA,TA,FuseA,Reg,Alloca,2010,55993
TA,TA,SBrkr,Reg,Normal,2007,157900
TA,TA,SBrkr,Reg,Normal,2006,116000
TA,TA,SBrkr,IR2,Normal,2010,224900
TA,TA,SBrkr,IR1,Normal,2006,137000
TA,TA,SBrkr,IR1,Normal,2008,271000
TA,TA,SBrkr,Reg,Normal,2010,155000
TA,TA,SBrkr,IR1,Partial,2010,224000
TA,TA,SBrkr,IR1,Normal,2008,183000
TA,TA,SBrkr,Reg,Normal,2009,93000
TA,TA,SBrkr,IR1,Family,2007,225000
TA,TA,SBrkr,Reg,Normal,2009,139500
TA,TA,SBrkr,Reg,Partial,2006,232600
TA,TA,SBrkr,Reg,Partial,2008,385000
,,SBrkr,Reg,Normal,2008,109500
TA,TA,SBrkr,IR1,Normal,2009,189000
TA,TA,SBrkr,IR2,Abnorml,2009,185000
TA,TA,SBrkr,Reg,Normal,2006,147400
TA,TA,FuseA,IR1,Normal,2008,166000
TA,TA,SBrkr,Reg,Normal,2006,151000
TA,TA,SBrkr,IR1,Normal,2010,237000
TA,TA,SBrkr,Reg,Normal,2009,167000
TA,TA,SBrkr,Reg,Normal,2008,139950
TA,TA,SBrkr,Reg,Normal,2010,128000
TA,TA,SBrkr,Reg,Normal,2007,153500
TA,TA,SBrkr,Reg,Normal,2008,100000
TA,TA,SBrkr,Reg,Normal,2008,144000
TA,TA,SBrkr,Reg,Normal,2008,130500
TA,TA,SBrkr,IR1,Normal,2008,140000
Gd,TA,SBrkr,Reg,Normal,2008,157500
Gd,Gd,SBrkr,Reg,Normal,2008,174900
,,SBrkr,Reg,Normal,2007,141000
TA,TA,SBrkr,IR1,Normal,2008,153900
TA,TA,SBrkr,IR1,Normal,2007,171000
TA,TA,SBrkr,Reg,Normal,2009,213000
TA,TA,SBrkr,IR1,Normal,2009,133500
Fa,TA,SBrkr,IR2,Normal,2008,240000
TA,TA,SBrkr,Reg,Normal,2007,187000
TA,TA,SBrkr,Reg,Normal,2007,131500
TA,TA,SBrkr,Reg,Normal,2006,215000
TA,TA,SBrkr,Reg,Normal,2007,164000
TA,TA,SBrkr,IR1,Normal,2009,158000
TA,TA,SBrkr,Reg,Abnorml,2006,170000
TA,TA,SBrkr,IR1,Normal,2010,127000
TA,Fa,SBrkr,IR1,Normal,2008,147000
TA,TA,SBrkr,Reg,Normal,2009,174000
TA,TA,SBrkr,Reg,Family,2009,152000
TA,TA,SBrkr,IR1,Normal,2006,250000
TA,TA,SBrkr,Reg,Normal,2007,189950
TA,TA,SBrkr,Reg,Normal,2010,131500
TA,TA,SBrkr,Reg,Normal,2010,152000
TA,TA,SBrkr,Reg,Normal,2009,132500
TA,TA,SBrkr,Reg,Partial,2008,250580
TA,TA,SBrkr,IR1,Normal,2009,148500
TA,TA,SBrkr,IR1,Partial,2007,248900
TA,TA,SBrkr,Reg,Normal,2007,129000
TA,TA,SBrkr,IR2,Normal,2006,169000
TA,TA,SBrkr,Reg,Normal,2010,236000
TA,TA,SBrkr,Reg,Normal,2009,109500
TA,TA,SBrkr,Reg,Normal,2010,200500
TA,TA,SBrkr,Reg,Normal,2008,116000
TA,TA,SBrkr,Reg,Normal,2009,133000
TA,TA,SBrkr,Reg,Abnorml,2009,66500
TA,TA,SBrkr,Reg,Partial,2007,303477
TA,TA,SBrkr,Reg,Normal,2007,132250
TA,TA,SBrkr,Reg,Normal,2009,350000
TA,TA,SBrkr,IR1,Normal,2010,148000
TA,TA,SBrkr,IR1,Normal,2009,136500
TA,TA,SBrkr,Reg,Normal,2007,157000
TA,TA,SBrkr,IR1,Normal,2007,187500
TA,TA,SBrkr,IR1,Normal,2009,178000
TA,Gd,SBrkr,Reg,Normal,2006,118500
TA,TA,SBrkr,Reg,Normal,2009,100000
TA,TA,SBrkr,IR1,Abnorml,2008,328900
TA,TA,SBrkr,Reg,Family,2006,145000
TA,TA,SBrkr,IR1,Normal,2008,135500
TA,TA,SBrkr,IR1,Normal,2007,268000
TA,TA,SBrkr,Reg,Normal,2009,149500
TA,TA,SBrkr,Reg,Normal,2007,122900
TA,TA,SBrkr,Reg,Normal,2009,172500
TA,TA,SBrkr,Reg,Normal,2006,154500
TA,TA,SBrkr,Reg,Normal,2008,165000
TA,TA,SBrkr,Reg,Alloca,2009,118858
TA,TA,SBrkr,Reg,Normal,2008,140000
TA,TA,SBrkr,Reg,Abnorml,2006,106500
TA,TA,SBrkr,Reg,Alloca,2009,142953
TA,TA,SBrkr,IR1,Partial,2010,611657
TA,TA,SBrkr,Reg,Normal,2006,135000
TA,TA,SBrkr,IR1,Normal,2007,110000
TA,TA,SBrkr,IR1,Normal,2009,153000
TA,TA,SBrkr,Reg,Normal,2006,180000
TA,TA,SBrkr,IR1,Partial,2006,240000
TA,TA,SBrkr,IR1,Normal,2007,125500
TA,TA,SBrkr,Reg,Normal,2010,128000
TA,TA,SBrkr,IR1,Normal,2007,255000
Fa,TA,SBrkr,IR1,Normal,2006,250000
TA,TA,SBrkr,IR1,Normal,2006,131000
TA,TA,SBrkr,IR2,Normal,2009,174000
TA,TA,FuseA,Reg,Normal,2010,154300
TA,TA,SBrkr,IR1,Normal,2009,143500
TA,TA,SBrkr,Reg,Abnorml,2006,88000
TA,TA,FuseA,Reg,Normal,2007,145000
TA,TA,SBrkr,Reg,Partial,2009,173733
TA,TA,SBrkr,Reg,Normal,2007,75000
TA,TA,FuseA,Reg,Abnorml,2006,35311
TA,TA,FuseA,Reg,Normal,2009,135000
TA,TA,SBrkr,IR1,Normal,2007,238000
TA,TA,SBrkr,IR1,Normal,2008,176500
TA,TA,SBrkr,IR1,Normal,2007,201000
,,SBrkr,Reg,Normal,2008,145900
TA,TA,SBrkr,Reg,Partial,2006,169990
TA,TA,SBrkr,Reg,Normal,2008,193000
TA,TA,SBrkr,Reg,Normal,2006,207500
TA,TA,SBrkr,IR1,Abnorml,2008,175000
TA,TA,SBrkr,Reg,Normal,2007,285000
TA,TA,SBrkr,Reg,Normal,2008,176000
TA,TA,SBrkr,Reg,Normal,2009,236500
TA,TA,SBrkr,IR1,Normal,2006,222000
TA,TA,SBrkr,IR1,Normal,2009,201000
TA,TA,SBrkr,Reg,Normal,2009,117500
TA,TA,SBrkr,IR1,Normal,2007,320000
TA,TA,SBrkr,Reg,Normal,2009,190000
TA,TA,SBrkr,IR2,Normal,2008,242000
TA,TA,SBrkr,IR1,Normal,2006,79900
TA,TA,SBrkr,Reg,Normal,2009,184900
TA,TA,SBrkr,Reg,Normal,2009,253000
TA,TA,SBrkr,Reg,Partial,2006,239799
TA,TA,SBrkr,Reg,Normal,2010,244400
TA,TA,SBrkr,IR1,Normal,2006,150900
TA,TA,SBrkr,IR1,Normal,2009,214000
,,SBrkr,IR1,Abnorml,2007,150000
TA,TA,SBrkr,Reg,Normal,2007,143000
TA,TA,FuseA,IR1,Abnorml,2009,137500
TA,TA,SBrkr,Reg,Normal,2009,124900
TA,TA,SBrkr,Reg,Normal,2006,143000
TA,TA,SBrkr,Reg,Normal,2007,270000
TA,TA,SBrkr,IR1,Normal,2006,192500
TA,TA,SBrkr,Reg,Normal,2010,197500
TA,TA,SBrkr,Reg,Normal,2007,129000
TA,TA,SBrkr,Reg,Abnorml,2006,119900
TA,TA,SBrkr,Reg,Normal,2009,133900
TA,TA,SBrkr,IR1,Normal,2008,172000
,,SBrkr,IR1,AdjLand,2006,127500
TA,TA,FuseF,IR1,Normal,2007,145000
TA,TA,SBrkr,Reg,Normal,2009,124000
TA,TA,SBrkr,Reg,Normal,2007,132000
TA,TA,SBrkr,Reg,Normal,2007,185000
TA,TA,SBrkr,Reg,Normal,2010,155000
,,SBrkr,IR1,Normal,2010,116500
TA,TA,SBrkr,IR1,Normal,2008,272000
TA,TA,SBrkr,Reg,Normal,2007,155000
TA,TA,SBrkr,IR1,Normal,2009,239000
TA,TA,SBrkr,Reg,Normal,2010,214900
TA,TA,SBrkr,Reg,Partial,2007,178900
TA,TA,SBrkr,IR1,Normal,2009,160000
TA,TA,SBrkr,IR1,Normal,2008,135000
,,SBrkr,Reg,Abnorml,2009,37900
TA,TA,SBrkr,Reg,Normal,2006,140000
,,FuseA,Reg,Abnorml,2006,135000
TA,TA,SBrkr,Reg,Normal,2009,173000
TA,TA,SBrkr,Reg,Normal,2010,99500
TA,TA,SBrkr,Reg,Partial,2008,182000
TA,TA,SBrkr,IR1,Normal,2009,167500
TA,TA,SBrkr,Reg,Normal,2006,165000
,,FuseA,IR1,Normal,2006,85500
TA,TA,SBrkr,IR1,Partial,2007,199900
TA,TA,SBrkr,Reg,Abnorml,2007,110000
TA,TA,SBrkr,Reg,Normal,2009,139000
TA,TA,SBrkr,IR1,Normal,2008,178400
TA,TA,SBrkr,IR1,Normal,2009,336000
TA,TA,SBrkr,Reg,Normal,2008,159895
TA,TA,SBrkr,Reg,Normal,2008,255900
TA,TA,SBrkr,Reg,Normal,2009,126000
TA,TA,SBrkr,Reg,Normal,2008,125000
Fa,TA,SBrkr,Reg,Normal,2006,117000
TA,TA,SBrkr,IR1,Partial,2010,395192
TA,TA,SBrkr,IR1,Normal,2007,195000
TA,TA,SBrkr,Reg,Partial,2006,197000
TA,TA,SBrkr,Reg,Normal,2006,348000
TA,TA,SBrkr,Reg,Normal,2009,168000
TA,TA,SBrkr,Reg,Normal,2007,187000
TA,TA,SBrkr,Reg,Partial,2006,173900
TA,TA,SBrkr,Reg,Normal,2009,337500
TA,TA,SBrkr,IR1,Abnorml,2006,121600
TA,TA,SBrkr,IR1,Normal,2006,136500
TA,TA,SBrkr,IR1,Normal,2009,185000
TA,Fa,SBrkr,Reg,Normal,2006,91000
TA,TA,SBrkr,Reg,Normal,2010,206000
TA,Fa,FuseF,Reg,Normal,2009,82000
Fa,TA,FuseA,Reg,Abnorml,2007,86000
TA,TA,SBrkr,IR1,Normal,2008,232000
TA,TA,SBrkr,IR1,Normal,2007,136905
TA,TA,SBrkr,Reg,Normal,2009,181000
TA,TA,SBrkr,Reg,Normal,2008,149900
TA,TA,SBrkr,IR3,Normal,2007,163500
TA,TA,SBrkr,Reg,Normal,2009,88000
TA,TA,SBrkr,IR1,Normal,2009,240000
,,SBrkr,Reg,Normal,2006,102000
TA,TA,SBrkr,Reg,Normal,2008,135000
,,SBrkr,Reg,Normal,2010,100000
TA,TA,SBrkr,Reg,Normal,2007,165000
TA,TA,SBrkr,Reg,Normal,2009,85000
TA,TA,SBrkr,Reg,Normal,2007,119200
TA,TA,SBrkr,Reg,Normal,2009,227000
TA,TA,SBrkr,Reg,Normal,2009,203000
TA,TA,SBrkr,IR1,Abnorml,2009,187500
TA,TA,SBrkr,IR1,Normal,2007,160000
TA,TA,SBrkr,Reg,Normal,2006,213490
TA,TA,SBrkr,Reg,Normal,2008,176000
TA,TA,SBrkr,Reg,Partial,2006,194000
Fa,Fa,FuseA,Reg,Normal,2007,87000
TA,TA,SBrkr,Reg,Normal,2008,191000
TA,TA,SBrkr,IR1,Abnorml,2008,287000
TA,TA,SBrkr,Reg,Normal,2007,112500
TA,TA,SBrkr,Reg,Normal,2010,167500
TA,TA,SBrkr,IR1,Partial,2008,293077
TA,TA,SBrkr,Reg,Normal,2007,105000
TA,TA,SBrkr,Reg,Normal,2006,118000
,,SBrkr,Reg,Normal,2006,160000
TA,TA,SBrkr,Reg,Normal,2009,197000
TA,TA,SBrkr,IR1,Abnorml,2006,310000
TA,TA,SBrkr,Reg,Normal,2006,230000
Fa,TA,SBrkr,Reg,Normal,2007,119750
TA,TA,SBrkr,IR1,Normal,2009,84000
TA,TA,SBrkr,IR1,Normal,2009,315500
TA,TA,SBrkr,Reg,Normal,2008,287000
,,SBrkr,Reg,Normal,2009,97000
TA,TA,SBrkr,Reg,Normal,2009,80000
TA,TA,SBrkr,Reg,Normal,2006,155000
TA,TA,SBrkr,Reg,Normal,2008,173000
TA,TA,SBrkr,IR1,Normal,2009,196000
TA,TA,SBrkr,Reg,Normal,2008,262280
TA,TA,SBrkr,Reg,Normal,2009,278000
TA,TA,FuseA,IR1,Normal,2009,139600
TA,TA,SBrkr,IR1,Partial,2006,556581
TA,TA,SBrkr,IR2,Normal,2008,145000
TA,TA,SBrkr,Reg,Normal,2009,115000
TA,TA,SBrkr,Reg,Abnorml,2010,84900
TA,TA,SBrkr,IR1,Partial,2007,176485
TA,TA,SBrkr,IR1,Partial,2007,200141
TA,TA,SBrkr,Reg,Normal,2007,165000
TA,TA,FuseA,Reg,Normal,2010,144500
TA,TA,SBrkr,Reg,Normal,2006,255000
TA,TA,SBrkr,Reg,Abnorml,2008,180000
TA,TA,SBrkr,IR1,Normal,2006,185850
TA,TA,SBrkr,IR2,Normal,2009,248000
TA,TA,SBrkr,IR1,Normal,2009,335000
TA,Fa,SBrkr,IR1,Normal,2007,220000
TA,TA,SBrkr,Reg,Normal,2010,213500
TA,TA,SBrkr,Reg,Normal,2008,81000
TA,TA,SBrkr,Reg,Normal,2007,90000
TA,TA,SBrkr,Reg,Normal,2006,110500
TA,TA,SBrkr,IR1,Normal,2009,154000
TA,TA,SBrkr,Reg,Normal,2010,328000
TA,TA,SBrkr,IR1,Normal,2009,178000
TA,TA,SBrkr,Reg,Normal,2008,167900
TA,TA,SBrkr,Reg,Normal,2006,151400
TA,TA,SBrkr,Reg,Normal,2007,135000
TA,TA,SBrkr,Reg,Normal,2007,135000
TA,TA,SBrkr,Reg,Normal,2009,154000
TA,TA,FuseA,Reg,Normal,2006,91500
TA,TA,SBrkr,IR1,Normal,2009,159500
TA,TA,SBrkr,Reg,Normal,2007,194000
TA,TA,SBrkr,Reg,Normal,2007,219500
